# Time-averaged data for fix dump_momentum
# TimeStep c_calc_momentum[1] c_calc_momentum[2] c_calc_momentum[3]
38700 -6.91003e-13 -2.07834e-13 -9.81437e-14
38800 -6.90559e-13 -2.12275e-13 -9.9476e-14
38900 -7.20091e-13 -1.82521e-13 -8.74856e-14
39000 -7.18536e-13 -1.89626e-13 -7.63833e-14
39100 -7.11875e-13 -1.96287e-13 -7.4829e-14
39200 -7.23865e-13 -2.02061e-13 -5.41789e-14
39300 -7.11431e-13 -2.17382e-13 -6.30607e-14
39400 -7.12319e-13 -2.12275e-13 -6.57252e-14
39500 -7.03437e-13 -1.97176e-13 -6.30607e-14
39600 -7.10543e-13 -2.00284e-13 -5.15143e-14
39700 -6.85674e-13 -2.11386e-13 -4.61853e-14
39800 -6.8745e-13 -1.99396e-13 -5.68434e-14
39900 -7.04992e-13 -2.12719e-13 -6.03961e-14
40000 -7.08766e-13 -2.28706e-13 -5.68434e-14
40100 -7.14095e-13 -2.04725e-13 -5.32907e-14
40200 -7.21201e-13 -2.14939e-13 -4.44089e-14
40300 -7.19425e-13 -2.31815e-13 -4.70735e-14
40400 -7.08766e-13 -2.22489e-13 -4.08562e-14
40500 -7.00773e-13 -2.14939e-13 -1.86517e-14
40600 -7.0699e-13 -2.22045e-13 -3.37508e-14
40700 -7.15872e-13 -2.14051e-13 -5.24025e-14
40800 -7.17648e-13 -2.15827e-13 -4.35207e-14
40900 -7.46958e-13 -2.10498e-13 -4.52971e-14
41000 -7.44294e-13 -2.32037e-13 -3.19744e-14
41100 -7.58948e-13 -2.27374e-13 -3.9968e-14
41200 -7.57172e-13 -2.14939e-13 -1.95399e-14
41300 -7.47846e-13 -2.18492e-13 -8.88178e-16
41400 -7.46514e-13 -1.92291e-13 -3.01981e-14
41500 -7.60281e-13 -1.86517e-13 -1.90958e-14
41600 -7.62501e-13 -1.74083e-13 7.10543e-15
41700 -7.30971e-13 -1.63425e-13 0
41800 -7.19425e-13 -1.69642e-13 1.06581e-14
41900 -7.42517e-13 -1.68754e-13 6.21725e-15
42000 -7.50511e-13 -1.59872e-13 -3.68594e-14
42100 -7.62057e-13 -1.63425e-13 -5.86198e-14
42200 -7.52731e-13 -1.75859e-13 -4.30767e-14
42300 -7.63389e-13 -1.58096e-13 -2.17604e-14
42400 -7.5584e-13 -1.56319e-13 4.44089e-15
42500 -7.74492e-13 -1.53655e-13 2.66454e-15
42600 -7.4607e-13 -1.6831e-13 7.10543e-15
42700 -7.42517e-13 -1.52767e-13 2.66454e-15
42800 -7.17648e-13 -1.82965e-13 -9.32587e-15
42900 -7.17648e-13 -1.95399e-13 -1.15463e-14
43000 -7.14095e-13 -1.91847e-13 2.70894e-14
43100 -7.19425e-13 -1.95399e-13 2.17604e-14
43200 -7.53175e-13 -1.91847e-13 3.64153e-14
43300 -7.44294e-13 -2.02505e-13 2.84217e-14
43400 -7.52731e-13 -2.16716e-13 3.55271e-14
43500 -7.60281e-13 -2.22045e-13 2.13163e-14
43600 -7.47846e-13 -2.34479e-13 1.42109e-14
43700 -7.51399e-13 -2.49134e-13 -8.77076e-15
43800 -7.60281e-13 -2.27374e-13 -2.66454e-15
43900 -7.51399e-13 -2.2915e-13 1.24345e-14
44000 -7.53175e-13 -2.17604e-13 -3.55271e-15
44100 -7.38076e-13 -2.42473e-13 -1.77636e-14
44200 -7.30083e-13 -2.29594e-13 0
44300 -7.34079e-13 -2.22045e-13 3.73035e-14
44400 -7.363e-13 -2.16271e-13 2.13163e-14
44500 -7.33413e-13 -1.97176e-13 2.04281e-14
44600 -7.35412e-13 -1.86517e-13 3.01981e-14
44700 -7.43405e-13 -1.68754e-13 3.55271e-14
44800 -7.53175e-13 -1.72307e-13 2.13163e-14
44900 -7.7538e-13 -1.65201e-13 2.4869e-14
45000 -7.74492e-13 -1.61648e-13 2.13163e-14
45100 -7.46958e-13 -1.66089e-13 1.42109e-14
45200 -7.38076e-13 -1.58096e-13 -6.21725e-15
45300 -7.31193e-13 -1.38556e-13 8.88178e-15
45400 -7.30971e-13 -1.5099e-13 -3.55271e-15
45500 -7.29194e-13 -1.77636e-13 1.77636e-14
45600 -7.05214e-13 -1.91847e-13 7.66054e-15
45700 -6.96332e-13 -1.84741e-13 3.81917e-14
45800 -6.90115e-13 -1.93623e-13 3.10862e-14
45900 -6.88338e-13 -2.22045e-13 4.08562e-14
46000 -6.92224e-13 -2.16716e-13 4.44089e-14
