# Time-averaged data for fix dump_ke
# TimeStep c_calc_ke c_calc_pe
72900 413.293 -2662
73000 390.317 -2639.01
73100 399.428 -2648.13
73200 376.103 -2624.79
73300 375.53 -2624.23
73400 384.893 -2633.58
73500 403.533 -2652.24
73600 366.193 -2614.88
73700 405.399 -2654.1
73800 381.7 -2630.39
73900 377.638 -2626.34
74000 383.095 -2631.79
74100 380.911 -2629.6
74200 393.756 -2642.45
74300 391.907 -2640.6
74400 388.432 -2637.13
74500 396.614 -2645.32
74600 386.152 -2634.85
74700 386.276 -2634.97
74800 381.297 -2629.99
74900 377.441 -2626.13
75000 390.14 -2638.83
75100 389.149 -2637.84
75200 400.82 -2649.52
75300 390.629 -2639.33
75400 375.209 -2623.9
75500 391.75 -2640.45
75600 402.919 -2651.63
75700 373.421 -2622.12
75800 382.008 -2630.71
75900 383.681 -2632.37
76000 392.213 -2640.92
76100 391.061 -2639.76
76200 397.437 -2646.14
76300 399.426 -2648.13
76400 406.805 -2655.51
76500 403.705 -2652.4
76600 384.22 -2632.92
76700 382.019 -2630.71
76800 392.479 -2641.17
76900 397.48 -2646.18
77000 396.638 -2645.34
77100 408.507 -2657.22
77200 390.893 -2639.59
77300 396.854 -2645.55
77400 396.916 -2645.61
77500 365.465 -2614.14
77600 395.171 -2643.87
77700 391.84 -2640.53
77800 399.606 -2648.3
77900 398.373 -2647.07
78000 382.633 -2631.33
78100 401.292 -2649.99
78200 380.301 -2629
78300 391.55 -2640.23
78400 401.64 -2650.34
78500 390.129 -2638.83
78600 380.015 -2628.71
78700 385.181 -2633.87
78800 402.47 -2651.17
78900 397.913 -2646.61
79000 411.805 -2660.51
79100 370.833 -2619.52
79200 402.017 -2650.72
79300 378.878 -2627.58
79400 391.07 -2639.77
79500 414.473 -2663.18
79600 404.731 -2653.42
79700 386.505 -2635.2
79800 410.296 -2658.99
79900 404.367 -2653.06
80000 385.679 -2634.37
80100 385.307 -2634.01
80200 393.459 -2642.15
80300 391.695 -2640.38
80400 393.83 -2642.53
80500 362.57 -2611.27
80600 384.793 -2633.49
80700 387.201 -2635.9
80800 386.813 -2635.51
80900 387.164 -2635.86
81000 385.649 -2634.35
81100 375.855 -2624.55
81200 402.874 -2651.57
81300 384.594 -2633.29
81400 391.021 -2639.73
81500 391.557 -2640.25
